pattern	lane	primary_claim_type	status	confidence	action	external_description_scope	lane_external_reference_count	pattern_specific_external_source_count	natural_attestation_status	external_corpus_candidate_hit_count	external_corpus_clean_root_hit_count	external_corpus_document_count	external_corpus_collection_count	exact_accepted_fixture_surface_match_count	accepted_fixture_count	accepted_fixture_origin_count	runtime_code_reference_count	research_master_label_mention_count	native_validation_scope	native_naturalness_source_count	native_naturalness_judgment_count	native_naturalness_acceptable_count	native_naturalness_rejected_count	native_naturalness_sentence_ids	native_naturalness_conflict_sentence_ids	native_analysis_validation_count	native_naturalness_scope	native_conflict_disposition	negative_boundary_evidence	held_out_performance	alternative_analyses	language_claim	parser_representation_decision	parser_heuristic	audit_trigger	audit_note
ClauseSpan	INTERNAL_ARCHITECTURE	parser_representation_decision	parser_heuristic	medium	retain_as_bounded_internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	compatibility_surfaces_only_not_analysis_validation	11	9	3	2	1	118	29	75	0	COMPATIBILITY_SURFACE_JUDGMENTS_ONLY_NOT_CLAUSESPAN_ANALYSIS_VALIDATION	1	33	31	2	CS160-FU1-01;CS160-FU1-02;CS160-FU1-03;CS160-N001;CS160-N002;CS160-N004;CS160-N007;CS160-N011;CS160-N012;CS160-N013;CS160-N049;CS160-N053;CS160-N054;CS160-N055;CS160-N056;CS160-N057;CS160-N060;CS160-N072;CS160-N078;CS160-N080;CS160-N096;CS160-N098;CS160-N099;CS160-N105;CS160-N107;CS160-N109;CS160-N110;CS160-N111;CS160-N115;CS160-N117;CS160-N119;CS160-P0-06;CS160-P0-08	CS160-FU1-01;CS160-N013	0	compatibility_surface_judgments_only	not_attributed_to_neutral_clause_span	I01 prospective packet and visible structural boundaries	NOT_YET_OPENED	NOT_APPLICABLE_INTERNAL_SPAN	Canto Span does not claim that ClauseSpan is a canonical Cantonese construction name; it is a neutral internal span representation.	ClauseSpan groups overt clause material while preserving typed predicate, subject, topic, location, coordination, modal, particle, and relation children. It cannot independently license any of those analyses.	When an existing language-sensitive rule has already identified a complete clause wrapper, the runtime normalizes that wrapper to ClauseSpan. ClauseSpan itself cannot create a clause or missing material.	change to overt-span ownership, typed-child preservation, compatibility aliases, or independent licensing guards	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
CognitionContentFrame	LANE-08	cantonese_language_claim	research_pending	not_assigned_research_pending	retain_but_quarantine_from_new_grammar_acceptance	lane_level	8	0	native_surface_acceptability_candidate_not_analysis_validated	0	0	0	0	0	4	3	5	1	ONE_SPEAKER_SENTENCE_NATURALNESS_ONLY_NOT_ANALYSIS_VALIDATION	1	1	1	0	CS160-N104		0	acceptable_surface_judgments_only	none	fixture_level_not_provenance_linked	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by CognitionContentFrame; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses CognitionContentFrame as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose CognitionContentFrame; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
CognitionDelimitedObjectVP	LANE-08	cantonese_language_claim	unsupported_generalization	unsupported	quarantine_unexercised_runtime_path	lane_level	8	0	none_recorded	0	0	0	0	0	0	0	4	0	NOT_ESTABLISHED	0	0	0	0			0	NOT_ESTABLISHED	none	none_recorded	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by CognitionDelimitedObjectVP; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses CognitionDelimitedObjectVP as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose CognitionDelimitedObjectVP; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
CognitionDelimitedVP	LANE-08	cantonese_language_claim	unsupported_generalization	unsupported	quarantine_unexercised_runtime_path	lane_level	8	0	none_recorded	0	0	0	0	0	0	0	3	0	NOT_ESTABLISHED	0	0	0	0			0	NOT_ESTABLISHED	none	none_recorded	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by CognitionDelimitedVP; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses CognitionDelimitedVP as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose CognitionDelimitedVP; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
CognitionStatementClause	LANE-08	cantonese_language_claim	unsupported_generalization	unsupported	quarantine_and_research_before_retention	lane_level	8	0	native_surface_acceptability_candidate_not_analysis_validated	0	0	0	0	0	8	3	6	0	ONE_SPEAKER_SENTENCE_NATURALNESS_ONLY_NOT_ANALYSIS_VALIDATION	1	2	2	0	CS160-N102;CS160-N103		0	acceptable_surface_judgments_only	none	fixture_level_not_provenance_linked	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by CognitionStatementClause; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses CognitionStatementClause as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose CognitionStatementClause; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
Comment	LANE-10	parser_representation_decision	parser_heuristic	low	retain_as_representation_only	lane_level	11	0	none_recorded	0	0	0	0	0	0	0	1	12	NOT_ESTABLISHED	0	0	0	0			0	NOT_ESTABLISHED	none	none_recorded	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Canto Span does not claim that Comment is a canonical Cantonese construction name; it is an internal structural representation.	Canto Span uses Comment as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose Comment; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
ComparativeStative	LANE-10	cantonese_language_claim	unsupported_generalization	unsupported	quarantine_unexercised_runtime_path	lane_level	11	0	none_recorded	0	0	0	0	0	0	0	1	1	NOT_ESTABLISHED	0	0	0	0			0	NOT_ESTABLISHED	none	none_recorded	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by ComparativeStative; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses ComparativeStative as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose ComparativeStative; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
ComplementEllipsisFragment	LANE-04	cantonese_language_claim	research_pending	not_assigned_research_pending	retain_but_quarantine_from_new_grammar_acceptance	lane_level	12	0	native_surface_acceptability_candidate_not_analysis_validated	0	0	0	0	0	5	1	7	5	ONE_SPEAKER_SENTENCE_NATURALNESS_ONLY_NOT_ANALYSIS_VALIDATION	1	1	1	0	CS160-N116		0	acceptable_surface_judgments_only	none	fixture_level_not_provenance_linked	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by ComplementEllipsisFragment; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses ComplementEllipsisFragment as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose ComplementEllipsisFragment; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
CompletionQuestion	LANE-05	cantonese_language_claim	research_pending	not_assigned_research_pending	retain_but_quarantine_from_new_grammar_acceptance	lane_level	14	0	native_surface_acceptability_candidate_not_analysis_validated	1	1	1	1	0	8	12	11	4	ONE_SPEAKER_SENTENCE_NATURALNESS_ONLY_NOT_ANALYSIS_VALIDATION	1	2	2	0	CS160-N032;CS160-N033		0	acceptable_surface_judgments_only	none	fixture_level_not_provenance_linked	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by CompletionQuestion; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses CompletionQuestion as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose CompletionQuestion; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
CompletionThenClause	LANE-02	cantonese_language_claim	unsupported_generalization	unsupported	quarantine_unexercised_runtime_path	lane_level	8	0	none_recorded	0	0	0	0	0	0	0	3	0	NOT_ESTABLISHED	0	0	0	0			0	NOT_ESTABLISHED	none	none_recorded	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by CompletionThenClause; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses CompletionThenClause as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose CompletionThenClause; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
CompletionVP	LANE-05	cantonese_language_claim	research_pending	not_assigned_research_pending	retain_externally_attested_V完咗O_family_quarantine_only_rejected_surface_context_and_continue_analysis_validation	pattern_specific_multi_source	14	4	independently_attested_with_one_speaker_surface_variation	2	2	1	1	0	7	5	19	0	ONE_SPEAKER_SENTENCE_NATURALNESS_ONLY_MIXED_NOT_ANALYSIS_VALIDATION	1	7	4	3	CS160-P0-03;CS160-N032;CS160-N023;CS160-N031;CS160-FU1-01;CS160-FU1-02;CS160-FU1-03	CS160-P0-03;CS160-N031;CS160-FU1-01	0	mixed_acceptable_and_rejected_surface_judgments	broad_family_independently_attested_rejected_surfaces_retained_as_variation_evidence	two_project_boundary_probes_recorded_not_independent_ungrammaticality_evidence	CANDIDATE_HEADLESS_4_OF_4_INDEPENDENT_POSITIVES_PASS_RENDERED_PENDING	inner_aspect_or_phase_complement_vs_result_complement; parser label is representational	Published Cantonese analyses and independently sourced examples attest V + 完 + 咗 + object ordering, with 完 inside the perfective scope; exact lexical, discourse, and speaker-variation boundaries remain research-pending.	Canto Span represents V完 as an inner CompletionVP and 咗 plus the overt object as an outer PerfectiveVP. This scope representation is an engineering analysis aligned with published inner/outer-aspect accounts, not native-speaker analysis validation.	When visible action + 完 + 咗 + overt-object cues occur, the parser composes an inner completion predicate under outer perfective aspect. The heuristic must remain review-bearing for native-rejected surfaces and incompatible aspect orders.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
CompoundDirectionalMotionVP	LANE-09	cantonese_language_claim	unsupported_generalization	unsupported	quarantine_unexercised_runtime_path	lane_level	8	0	none_recorded	0	0	0	0	0	0	0	4	0	NOT_ESTABLISHED	0	0	0	0			0	NOT_ESTABLISHED	none	none_recorded	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by CompoundDirectionalMotionVP; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses CompoundDirectionalMotionVP as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose CompoundDirectionalMotionVP; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
ConditionResult	LANE-02	cantonese_language_claim	unsupported_generalization	unsupported	quarantine_unexercised_runtime_path	lane_level	8	0	none_recorded	0	0	0	0	0	0	0	4	0	NOT_ESTABLISHED	0	0	0	0			0	NOT_ESTABLISHED	none	none_recorded	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by ConditionResult; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses ConditionResult as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose ConditionResult; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
ConditionalClause	LANE-02	cantonese_language_claim	unsupported_generalization	unsupported	quarantine_and_research_before_retention	lane_level	8	0	native_surface_acceptability_candidate_not_analysis_validated	0	0	0	0	0	4	10	5	0	ONE_SPEAKER_SENTENCE_NATURALNESS_ONLY_NOT_ANALYSIS_VALIDATION	1	1	1	0	CS160-N114		0	acceptable_surface_judgments_only	none	fixture_level_not_provenance_linked	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by ConditionalClause; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses ConditionalClause as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose ConditionalClause; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
CoordinatedNP	LANE-06	cantonese_language_claim	unsupported_generalization	unsupported	quarantine_unexercised_runtime_path	lane_level	10	0	none_recorded	0	0	0	0	0	0	0	9	0	NOT_ESTABLISHED	0	0	0	0			0	NOT_ESTABLISHED	none	none_recorded	NOT_ESTABLISHED	LANE_LEVEL_ONLY	Cantonese may instantiate the structural family represented by CoordinatedNP; exact productivity and boundaries require pattern-specific independent evidence.	Canto Span uses CoordinatedNP as an internal node label to preserve spans, roles, or relations; the label itself is not asserted to be standard linguistic terminology.	When its current surface and slot cues match, the parser may choose CoordinatedNP; this operational decision remains defeasible and must not be treated as language fact.	new pattern-specific source, reviewed natural attestation, held-out result, native/expert analysis, or doctrine contradiction	Runtime metadata is synchronized with current governance in v0.5.184. Internal test success remains separate from linguistic status.
